Name,Title,Departments,Research Keywords,Faculty Information,Office Room,Location,Website
Renata Sanders,Associate Professor,"Pediatrics,Epidemiology,Health, Behavior and Society,Infectious Diseases",Adolescent Sexually Transmitted Infection and HIV; Adolescent Diabetes Management; School-Based Health Center Needs,"Dr. Sanders is an Associate Professor in the Division of General Pediatrics & Adolescent Medicine at the Johns Hopkins University. She is board certified in adolescent medicine, internal medicine and pediatrics and serves on the Editorial Board of the American Board of Pediatrics, Adolescent Medicine Subboard. She serves on the Society for Adolescent Medicine the Board of Directors, Member-at-Large, the Medical Director of the Pediatric and Adolescent HIV/AIDS Program and the Director of the PrEP Program (prepisforyouth.org) located in the Harriet Lane Clinic at Johns Hopkins Children's Center and the co-Director of the Adolescent and Young Adult Scientific Working Group Center for AIDS Research (CFAR). She is currently funded with a National Institutes of Health, National Institute of Drug Abuse (NIDA) funded R01 (R01DA043089-01) and the Centers for Disease Control and Prevention, Baltimore City Health Department 1506/1509 grants to identify HIV positive and high-risk HIV negative YBMSM, transgender and gender non-binary adolescents and link them to care, including primary, HIV and pre-exposure prophylaxis care services. She has served as a consultant to the Centers for Disease Control and Prevention (CDC), as representative for Maryland Chapter of American Academy of Pediatrics to the Maryland General Assembly to make recommendations regarding HIV testing laws in Maryland, and has worked with the Baltimore City Health Department to improve HIV testing strategies in African American men who have sex with men (MSM).   She serves on the Board of Directors of the Society for Adolescent Health and Medicine and is currently involved with graduate medical education efforts to develop educational curriculums focused on sexual and gender minority health.","200 N. Wolfe Street, Room 2083, Baltimore, Maryland 21287",200 N. Wolfe Street,https://hopkinscfar.org/science-cores/adolescent-young-adult-swg/leadership-staff/staff.detail/renata-arrington-sanders-md-mph-scm
Renee Johnson,Associate Professor,Mental Health,"substance use epidemiologymarijuana/cannabis, violenceadolescent healthemerging adultsvulnerable populations",,"624 N. Broadway, Hampton House 898, Baltimore, Maryland 21205",624 N. Broadway,
Renee Marlin-Bennett,Professor,Department of Political Science,international theory; international political sociology and global political economy of information; embodiment and global politics; and pragmatic epistemology and global politics,"​I research global problems, emphasizing questions about the nature of political power, information flows, bodies and emotions, and borders. As part of this larger project, my current focus is on cybersecurity, surveillance, and the emergence of agents with power.",Mergenthaler 326,Keyser Quad,https://www.marlin-bennett.com/
Renske Gelderloos,Associate Research Scientist,Department of Earth and Planetary Sciences,,"Dr. Renske Gelderloos, Associate Research Scientist, will lead a new project on Labrador Sea salinity, funded by NASA. The project title is “Using satellite surface salinity measurements to derive and predict changes in dense water properties in the Labrador Sea.”

Overview: This project will demonstrate the value of satellite salinity measurements by using them to derive and predict changes in dense water mass properties in the Labrador Sea, which is one of the key variables in the Earth’s climate system and global ocean circulation. The occurrence and intensity of deep convection in the Labrador Sea is determined by the strength of the ocean stratification and wintertime atmospheric conditions. The upper Labrador Sea is stratified by salinity in winter and the buoyancy erosion happens almost exclusively through surface heat fluxes. Thus, local surface salinity is a prime indicator for the likelihood of convection. Furthermore, salinity properties in the two upper—buoyant—layers of the Labrador Sea is advected in from the surface Arctic Ocean and surface subtropical North Atlantic Basin, respectively. Thus, it is largely predictable ahead of time. The objectives of the project are to demonstrate to what extent (1) satellite surface salinity measurements in the Labrador Sea can be used to derive changes in dense water mass properties, and (2) satellite surface salinity measurements over the Arctic and Subtropical North Atlantic can be used to predict changes in dense water mass properties in the Labrador Sea.",328 Olin Hall,Olin,
Reza Kalhor,Assistant Professor,Biomedical Engineering," Genomics, synthetic biology, developmental biology, neurobiology, cancer biology

 ","Our lab operates at the interface of biology and technology to investigate important questions in biomedical sciences. We develop new tools using molecular engineering, genome engineering, computational approaches, and other strategies. We apply these tools to problems in mammalian development, neurobiology, and synthetic biology.",Rangos 575,855 N Wolfe St,https://kalhorlab.bme.jhu.edu/
Reza Shadmehr,Professor,"Biomedical Engineering,Neuroscience","Mechanisms of movement control in non-human primates, neurophysiology, cerebellum","Our lab members are engineers, physicists, and physicians, working together to understand the brain. We are intrigued by how the brain controls movements. In particular, how does it learn this control? When it learns a new task, how is the information represented? What parts of the brain are involved in storing the representation? With the passage of time, does the representation change? When there is damage to the brain, can it affect the ability to learn control? If so, can we aid in the process of recovery? 

We record from the brain of marmosets and study the neuronal activities using tools from computational neuroscience. We focus on the cerebellum and study of activities of neurons in this part of the brain and how it learns to control movements.",Traylor 410,Traylor ,http://www.shadmehrlab.org/
Richard Bett,Professor ,"Department of Classics,Department of Philosophy", Ancient Greek philosophy,,Gilman 202,Gilman Hall,
Richard Brown,Teaching Professor,Department of Mathematics,"Hamiltonian dynamical systems, surface mapping class groups, character varieties of surfaces, and symplectic geometry ","My main field of study is Algebraic Dynamics, the study of dynamical systems on algebraic sets.  In particular, I study the action of the Mapping Class Group of a compact, orientable surface on the G-Character Variety of the surface, where G is an algebraic group (a matrix group).  Both the group and the space in these actions are challenging to explore, and not fully understood.  And the resulting dynamical system of these actions contains information on both of these important objects.   ",Krieger 403,Krieger Hall,https://www.rjbrown.me/
Richard Chaisson,Professor ,"Medicine,Epidemiology,International Health,Infectious Diseases",Tuberculosis; HIV; Infectious Diseases; Tuberculosis screening; HIV-infected pregnant women; HIV-infected Malawians; HIV-associated lung infections and complications,"Dr. Chaisson’s research focuses on tuberculosis and HIV infection, including global control, prevention, clinical trials and public health interventions. He leads research projects in South Africa, Malawi, Brazil and India, and serves as chair of the Tuberculosis Transformative Science Group of the AIDS Clinical Trials Group.

He serves as the principal investigator of numerous research grants and of the Consortium to Respond Effectively to the AIDS/TB Epidemic (CREATE).","1550 Orleans Street, Room 108, Baltimore, Maryland 21231",1550 Orleans Street,http://tbcenter.jhu.edu/people/richard-chaisson/
Richard Day,Lecturer,"Anesthesiology and Critical Care Medicine,Armstrong Institute for Patient Safety and Quality,Malone Center for Engineering in Healthcare","program management, system engineering, system safety, reliability, risk management, mission assurance","His passion for excellence and unique experience with high reliability organizations led him to Johns Hopkins Medicine where he now serves as Senior Director of Systems Engineering, leading the application of systems engineering methodology and high reliability principles to enhance the the safety and quality of healthcare.",Billings Administration Building 328C,The Johns Hopkins Hospital,https://ep.jhu.edu/about-us/faculty-directory/984-richard-day
Richard Huganir,Bloomberg Distinguished Professor ,"Department of Psychological & Brain Sciences,Biological Chemistry,Neuroscience,Brain Science Institute","Developmental Neuroscience; Cellular, Molecular Neuroscience","REGULATION OF NEUROTRANSMITTER RECEPTORS AND BRAIN FUNCTION IN HEALTH AND DISEASE  Neurotransmitter receptors mediate signal transduction at the postsynaptic membrane of synaptic connections between neurons in the nervous system. We have been studying the molecular mechanisms in the regulation of neurotransmitter receptor function. Recently we have focused on glutamate receptors, the major excitatory receptors in the brain. Glutamate receptors can be divided into two major classes: AMPA and NMDA receptors. AMPA receptors mediate rapid excitatory synaptic transmission while NMDA receptors play important roles in neuronal plasticity and development. Studies in our laboratory have found that both AMPA and NMDA receptors are multiply phosphorylated by a variety of protein kinases. Phosphorylation regulates several functional properties of these receptors including conductance and membrane targeting. Recent studies in our lab have demonstrated that the phosphorylation of AMPA receptors is regulated during cellular models of learning and memory such as long-term potentiation (LTP) and long-term depression (LTD). Moreover, phosphorylation of the AMPA receptor GluR1 subunit is required for the expression of these forms of plasticity and for the retention of spatial memory and also regulates emotional memory formation and erasure.  We have also been examining the mechanisms of the subcellular targeting and clustering of glutamate receptors at synapses. We have recently identified a variety of proteins that directly or indirectly interact with AMPA and NMDA receptors. We have found a novel family of proteins that we call GRIPs (Glutamate Receptor Interacting Proteins) that directly bind to the C-termini of the GluR2/3 subunits of AMPA receptors. GRIPs contain seven PDZ domains, protein-protein interaction motifs, which crosslink AMPA receptors to each other or link them to other proteins. In addition, we have found that the C-termini of GluR2 also interacts with the PDZ domain of PICK1, a protein kinase C-binding protein that is found at excitatory synapses. The GluR2 subunit also interacts with the NSF protein, a protein involved in the regulation of membrane fusion events. These AMPA receptor interacting proteins are critical in the proper membrane trafficking and synaptic targeting of these receptors. We have shown that the binding of PICK1 and GRIP is required for a specific form of LTD in the cerebellum that is a cellular model for motor learning. Moreover, we have found that this receptor complex is critical for hippocampal LTP and LTD and spatial learning.  In addition to these studies on AMPA receptors, we have been characterizing a separate NMDA receptor associated protein complex that is important in synaptic targeting and downstream signaling of NMDA receptors. We have identified an excitatory synapse specific rasGAP, which we call synGAP that regulates synaptic Ras signaling and has profound effects on synaptic plasticity.  Importantly, recent evidence has implicated glutamate receptor associated complexes in several neurological and psychiatric disorders including Alzheimer's disease, schizophrenia, autism, mental retardation as well as in chronic pain and drug addiction.  In summary, we have examined the molecular mechanisms underlying the regulation of neurotransmitter receptor function. Our studies have suggested that regulation of receptor function may be a major mechanism for the regulation of synaptic plasticity in the nervous system in health and disease and may be an important determinant of animal behavior.",Hunterian 1009A,Hunterian,http://neuroscience.bs.jhmi.edu/huganir/
Richard Jasnow,Professor ,"Department of Classics,Department of Near Eastern Studies,Program in Islamic Studies", Egyptology,,Gilman 116,Gilman Hall,
Richard Katz,Professor ,Department of Political Science," Comparative Politics (Parties, Elections, European politics), American Politics",,Mergenthaler 327,Keyser Quad,
Richard Markham,Professor,Molecular Microbiology and Immunology,HIV; pathogenesis; evolution; SCID; mouse; microbicide; vaccine,"1. A major recent effort of the laboratory has focused on the development of a novel vaccine platform that has demonstrated an ability to elicit profoundly elevated and sustained humoral and cell-mediated immune responses. The initial target for this platform has been malaria. This target was chosen for three reasons: 1. This disease represents one of the major public health problems confronting the world today. 2. The infrastructure at the Johns Hopkins Bloomberg School of Public Health's Malaria Research Institute provides the tools necessary to carry this vaccine forward in mouse model systems, particularly an insectary and the availability of transgenic malaria strains enabling the testing of vaccine efficacy against human malaria targets in mice 3. The failure of the heavily funded, large scale clinical trial of the RTS,S malaria vaccine. This failure is, in my view, primarily attributable to the inability of this vaccine to elicit a sustained humoral immune response. 4. The ability to carry out direct challenge with drug sensitive malaria strains as part of Phase 1 clinical trials of the vaccine.

Our candidate vaccine fuses the vaccine antigen to a chemokine that targets the antigen to the immature dendritic cells that initiate the immune response. This vaccine construct elicits markedly elevated antibody concentrations that have been sustained at protective levels for 6 months in the mouse challenge systems, a time course previously unreported in this system. This finding of extended protection is of particular interest not simply because of its clinical relevance, but because it provides an opportunity to explore one of the critical questions of immunology and vaccine science in particular--the basis for extended immunological memory.

2. Use of a candidate vaccine platform for cancer immunotherapy.  Because of the marked efficacy of the vaccine platform in preventing malaria in mouse model systems, we are also evaluating its use as a therapeutic modality in mouse melanoma models.  Introducing some variations on the malaria vaccine approach, we have been able to extend survival 50% in treated mice.  We are expanding these studies for use in other cancer model systems and to apply this vaccine to novel approaches to cancer immunotherapy.

3. Use of toxin-fused camelid-derived single domain antibodies to treat viral infections. While the use of toxin-fused antibodies as a cancer therapeutic approach and has been considered for treating HIV, the use of camelid-derived single domain antibodies for this purpose has not been explored. The smaller size of single domain antibodies may enable engagement of proteins that would not be accessible to traditional antibodies. We have published data on the in vitro efficacy of this approach for HSV-2 and, in unpublished work, have developed a cross-clade reactive single domain antibody which is highly active and highly specific in eliminating HIV infected cells in in vitro systems.  Application of this approach to in vivo model systems will be undertaken in the near future.",Room E5150,Krieger Hall,
Richard Semba,Professor ,"Ophthalmology, Wilmer Eye Institute,International Health",macular degeneration; malnutrition; sarcopenia; proteomics; metabolomics; mass spectrometry,,"400 N. Broadway, Smith Building, M015, Baltimore, Maryland 21287",400 N. Broadway,https://en.wikipedia.org/wiki/Richard_David_Semba
Richard Shingles,Lecturer,," Membrane Biochemistry, Membrane Transport Mechanisms, Stopped-Flow Fluorescence ",,281 UTL,Krieger Hall,
Richard Spady,Research Professor,Department of Economics," Econometrics, industrial organization","My research program is primarily directed towards providing methods for identifying and incorporating latent variables in structural models. These methods aim to characterize the social genesis and evolution of attitudes, dispositions, skills, etc. at the individual level, and to examine their effects on behavior and outcomes. Examples include the effect of cultural and economic attitudes on the vote, cognitive and non-cognitive skills on life outcomes, life events and societal position on subjective happiness, and ethnic identity and locus of control on the social integration of immigrants. Claims of ceteris paribus effects are difficult to sustain in such contexts, even when the explanatory variables are directly observable. This work develops quantitative assessments that recognize the ordinal and stochastic nature of concept measurement in these areas and the (usually) discrete nature of the outcomes; it also addresses endogeneity issues and employs novel semiparametric methods.",Wyman Park Building 523,Wyman Park Building,
Rigoberto Hernandez,Professor ,Department of Chemistry,"Theoretical and Computational Chemistry, Chemical Physics, Physical Chemistry","The Hernandez lab uses-and-develops theoretical & computational chemistry to characterize nature. Our techniques include classical and semiclassical transition state theory, molecular dynamics, coarse-grained models, dynamical consistency, adaptive steered molecular dynamics (ASMD), and machine learning. Our applications include sustainable nanotechnology, autonomous computing, energetic materials, reactions in nonequilibrium solutions, and protein structure-and-function.",Macaulay 132B,Macaulay,https://sites.krieger.jhu.edu/hernandez-lab/
Rina Agarwala,Associate Professor,"Department of Sociology,Racism, Immigration, and Citizenship Program","International development, gender, labor, migration, globalization, India","I am fascinated by hierarchies of power—particularly how vulnerable populations sitting at the bottom of those hierarchies fight to advance their needs, and the conditions under which they succeed or fail to alter those very hierarchies.  My research has examined a range of populations (including informal workers and migrant workers), workers’ identities (including class, gender, caste, and migrant status), and worker industries (including construction; tobacco, garments, and automobile manufacturing; trash collection and recycling; and domestic work). My first book, Informal Labor, Formal Politics and Dignifying Discontent in India (Cambridge University Press, 2013), examined alternative labor movements among informal women workers and their relationship to the state in India.  My recent book, The Migration-Development Regime: How Class Shapes Indian Emigration (Oxford University Press, 2022),  examines how the Indian state has differentially used poor versus professional emigrant workers to shape India’s domestic development since the 1800s, and how Indian emigrants have differentially responded. My current project, called “The Social Insecurity Project,” examines how different populations (across genders, classes, and races/castes) differentially define and address the concept of social and economic “insecurity” as a value and need in and of itself and as distinct from income.

My empirical research relies on in-depth fieldwork, interviews, surveys, and ethnography.  While my empirical research has focused on India, my work has employed a cross-national comparative lens to further our understanding of the global economy. My work on Indian diaspora organizations in the U.S. collaborated with colleagues examining diaspora groups from 7 other countries in multiple receiving states. My work on informal workers’ movements collaborated with colleagues examining parallel movements in 7 other countries in the global South and North. My work on labor’s use of legal empowerment in India and my work on informal work in India’s 21st century social contracts were each part of collaborative projects comparing country experiences through the United Nations. My co-edited volume, Whatever Happened to Class? Reflections from South Asia (Routledge Press, 2008), explores how class-based analysis can help us better understand the contemporary challenges faced by urban workers, agricultural workers, and middle classes in India and Pakistan. My co-edited volume, Gendering Struggles against Informal and Precarious Work (PPST, 2018), explores the role that gender plays in shaping informal workers’ movements in India, Mexico, South Korea, Canada, and the U.S. My current project on social and economic insecurity will conduct field research in India, the U.S. and Denmark.  Although my research focusses on the contemporary period, I employ a comparative-historical lens. My work on informal workers’ movements traces the global rise of informal employment, and their corresponding social movements, since productions structures began to liberalize in the 1980s.  My work on global migrant workers traces cross-class emigration patterns from the 1800s to the present.",Mergenthaler 527,Keyser Quad,
Risa Wolf,Associate Professor,Pediatrics,"Pediatric diabetes, type 1 diabetes, type 2 diabetes, diabetes nutrition, diabetes psychology, diabetes camps, diabetic retinopathy, artificial intelligence","Dr. Wolf's research is focused on clinical care innovations in pediatric diabetes. She is the principal investigator of several studies utilizing innovative technologies to improve glycemic control and outcomes in youth with diabetes.  She also studies a novel family of proteins, called CTRPs, to determine their impact on glucose and lipid metabolism in the context of obesity and diabetes.
Dr. Wolf accepts a new cohort of students to participate in the JHU Undergraduate Medical Tutorial Program in Pediatric Diabetes Research every August, please contact her through ForagerOne or email if interested.&nbsp; This cohort is full for the 2023-2024 academic year.",Rubinstein 3103,Rubenstein,
Ritam Chaurey,Assistant Professor ,Washington DC,India; Indonesia; Economic Development; Private Sector in Developing Countries,His research interests are in the fields of development economics and applied microeconomics with a focus on firm behavior and entrepreneurship in developing countries.,BOB 743B,The Johns Hopkins Hospital,https://sites.google.com/site/ritamchaurey/
Robert Barbera,Lecturer,"Center for Financial Economics,Department of Economics","Real Interest Rate/Real Growth Rate Linkages, Global Energy Supply/Demand Issues",,Wyman Park Building 594,Wyman Park Building,https://krieger.jhu.edu/financial-economics/
Robert Blum,Professor,"Population Center,Pediatrics,Population, Family and Reproductive Health",adolescent sexuality; Global Early Adolescent Study; international adolescent health; urban health,"Robert Blum, MD, PhD, MPH, studies adolescent health worldwide, with a focus on gender socialization in early adolescence and how it shapes health and wellness.","2013 E. Monument Street, Baltimore, Maryland 21205",2013 E. Monument Street,
Robert Casero,Professor,"Oncology, Sidney Kimmel Comprehensive Cancer Center,Environmental Health and Engineering","Targeting spermine oxidase and polyamine catabolism as a strategy for chemoprevention of infection/inflammation associated carcinogenesis; Targeting chromatin remodeling proteins, particularly lysine-specific demethylase 1 (LSD1) as an antineoplastic strategy","Research in the Casero Laboratory is focused on the role of polyamines in cancer cell proliferation and ways to exploit their metabolism and function as antiproliferative and chemopreventive targets. 

Two enzymes cloned by my laboratory important in disease etiology and drug response are spermidine/spermine N1-acetyltransferase (SSAT) and spermine oxidase (SMOX). Each of these enzymes have been implicated not only in the response to specific drugs targeting polyamine metabolism, but also appear to be the molecular links between inflammation, DNA damage, epigenetic changes, and carcinogenesis. Thus they also represent a promising targets for chemopreventive intervention. 

Finally, my laboratory is exploring the ability of combining polyamine depletion with epigenetically-targeted drugs to enhance antitumor immune response, and have demonstrated that the combination of ODC inhibition with a drug that reduces DNA methylation leads to a significant enhancement of the anti-tumor immune response in normally immunologically cold tumors. These very encouraging results indicate a promising new avenue to exploit the targeting of polyamine metabolism in the treatment of cancer.",CRB I Rm 551,1550 Orleans Street,
Robert Gilman,Professor,International Health,"International Health, Disease control, Diarrheal and other enteric diseases, multidrug-resistant tuberculosis, parasitic infections, management and training for tropical disease prevention and interventions, community-based clinical trial for drugs, climate factors associated with infectious disease in developing countries",,"615 N. Wolfe Street, Room W5515, Baltimore, Maryland 21205",615 N. Wolfe Street,
Robert Ivkov,Associate Professor ,"Materials Science and Engineering,Mechanical Engineering,Oncology, Sidney Kimmel Comprehensive Cancer Center,Radiation Oncology and Molecular Sciences","Development, characterization, and use of nanomaterials to target cancer; Selective heating with magnetic nanoparticles; immune modulation with nanoparticles; radiation therapy; hyperthermia; immune therapy","Dr. Ivkov’s research interests include the development, characterization, and use of nanomaterials to target cancer and to enhance the effectiveness of current therapies such as radiation. He has a particular focus of immune modulation and selective heating with magnetic nanoparticles. He and his team have recently shown that nanoparticles have the potential to induce anti-tumor immune activity in immune competent mouse models of cancer. He and his team have also shown that they can cause cancer-specific heating by putting magnetic nanoparticles into the cancer and exposing these nanoparticle-containing cancers to an alternating magnetic field, which heats the particles. This form of therapy is called magnetic hyperthermia. Magnetic hyperthermia enhances effectiveness of radiation and immune therapies. Additional areas of research interest include heat transfer modeling of tissue heating with magnetic hyperthermia, physics of fine particle magnetism, and applications of magnetic nanoparticle immune modulation to treat infectious diseases.","CRB 2, Rm 442",1550 Orleans Street,https://www.hopkinsmedicine.org/profiles/details/robert-ivkov
Robert Kargon,Professor ,"Department of the History of Science & Technology,History of Medicine", History of the physical sciences; science and social change; history of science and technology in America,,Gilman 378,Gilman Hall,
Robert Lieberman,Professor,"Department of Political Science,Racism, Immigration, and Citizenship Program",comparative politics; politics; elections; foreign policy; political power,,361 Mergenthaler,Keyser Quad,
Robert Moffitt,Professor,"Department of Economics,Program in Social Policy,Population Center,Institute for Data Intensive Engineering & Science (IDIES)"," Labor economics, public economics, econometrics, population economics","My research interests are in the areas of labor economics and applied microeconometrics, with a special focus on the economics of issues relating to the low-income population in the U.S.. A large portion of my research in labor economics has concerned the labor supply decisions of female heads of family and its response to the U.S. welfare system. My research on the welfare system has led to publications on the AFDC, Food Stamp, and Medicaid programs. I have also published research on the labor supply and family structure effects of social insurance programs, including Social Security, unemployment insurance, and disability insurance, as well as of the U.S. income tax system. Other papers have concerned trends in volatility in the U.S. labor market and trends in the labor force attachment of men and women. Part of my research also focuses on population economics and economic demography, where I have estimated economic models of marriage, cohabitation, female headship, and fertility. My methodological research has led to publications on selection bias and limited-dependent variable models, nonlinear budget constraints, panel data, attrition, duration models, and causal modeling and program evaluation.",Wyman Park Building 526,Wyman Park Building,
Robert Ross,Associate Teaching Professor,"Department of Psychological & Brain Sciences,Program in Neuroscience"," Experimental design, statistical analysis, functional neuroimaging, extensive knowledge of the behavioral and cognitive neuroscience of learning and memory. ",,Dunning 416,Dunning,
Robert Rynasiewicz,Professor ,Department of Philosophy, Logic; philosophy of science; history and philosophy of physics,,Gilman 294,Gilman Hall,
Robert Stevens,Associate Professor ,"Anesthesiology and Critical Care Medicine,Biomedical Engineering,Neurology,Neurosurgery,Radiology and Radiological Science,Institute for Cell Engineering,Institute for Data Intensive Engineering & Science (IDIES)",    Intensive Care Medicine    Neurocritical Care   Personalized Medicine  Data Science  Artificial Intelligence&nbsp;  Digital Twins   ," The Laboratory of Computational Intensive Care Medicine (LCICM; https://lcicm.jhmi.edu/) in the Department of Anesthesiology and Critical Care Medicine (ACCM) at Johns Hopkins University School of Medicine aims to increase the precision, efficacy, and outcomes of care delivered to critically ill patients. Members of the lab work with biomedical data by applying and integrating mathematical and statistical methods, artificial intelligence, and domain expertise. Data sources include physiological recordings, biomarker assays, medical imaging, and detailed electronic health records. LCICM is accepting applications from graduate or undergraduate students who wish to work on predictive analytics projects anchored in intensive care medicine. The successful applicant’s responsibilities might include preprocessing and curation of high-resolution datasets acquired in intensive care units, feature extraction and engineering, implementation of different modeling paradigms including AI/ML, and interpretation of results. Project deliverables may include presentation at national or international meetings, scientific articles. Research for credit is available for interested students.     Preferred qualifications:  •	Coursework or a degree in engineering, mathematics, statistics, computer science, data science  •	Ability to code in relevant environments (Python, R, MATLAB, SQL) is desirable    How to apply:  Applicants should send an email briefly explaining interest and a CV to Dr Robert Stevens, email: rstevens@jhmi.edu    ",Phipps suite 455,Phipps,https://lcicm.jhmi.edu/
Robert Wood,Professor ,"Pediatrics,International Health",Food allergy; Asthma; Peanut allergy; Milk allergy; Allergens; Food hypersensitivity,"Dr. Wood and his team of experts have extensive experience in conducting clinical and laboratory research in asthma and allergy, including in the development of novel allergy treatments.

He is currently serving as principle investigator for more than 20 research studies, all aimed at addressing the critical challenges of asthma and food allergies.","600 N. Wolfe Street, CMSC 1102, Baltimore, Maryland 21287",600 N. Wolfe Street,
Rochelle Tobias,Professor ,Modern Languages and Literatures,Modern German literature and thought; German-Jewish culture,"Much of her recent scholarship has emphasized the importance of Husserlian phenomenology for understanding modernism. With Kristina Mendicino (Brown) and Philippe P. Haensler (Zurich), she edited Phenomenology to the Letter: Husserl and Literature (de Gruyter, 2020), which is the first volume in decades to explore the poetological implications of Husserl’s work. Her interest in the environmental humanities led to the volume Hölderlin’s Philosophy of Nature (Edinburgh UP, 2019), that considers the relation of Hölderlin’s poetic theory to his concept of nature.

She is currently working on two book projects. The first tentatively entitled Mindscapes: From Romanticism to Modernity explores the subjective constitution of the world as seen in the writings of Novalis and Fichte and again in Rilke and Husserl. The second project, Robert Walser, Literary Miracles, and Virgin Births sketches Walser’s incarnational poetics and claims that his texts engineer the birth of the author outside the book in a modern-day version of the word made flesh.",Gilman 404,Gilman Hall,
Roda Mushkat,Resident Professor ,Hopkins-Nanjing Center,,"Dr. Mushkat’s areas of academic specialization include general international law, international environmental law, international legal personality, international refugee law, international humanitarian law, positive international legal theory, jurisprudence/ legal theory, constitutional/public law, law and society, and law and economics. She has published over 100 books, book chapters, and journal articles in these and related (including philosophy and social sciences) areas. Her academic work has been cited by courts in Hong Kong, Australia and Canada.",Hopkins-Nanjing Center,Krieger Hall,
Roger Peng,Professor,"Biostatistics,Institute for Data Intensive Engineering & Science (IDIES)",Environmental biostatistics; data science; air pollution; software engineering; open source software; time series,"Roger Peng, PhD, MS, develops data science and machine learning approaches to studying how the indoor and outdoor environment affects human health.","615 N. Wolfe Street, Room E3535, Baltimore, Maryland 21205",615 N. Wolfe Street,https://rdpeng.org/
Roger Raufer,Resident Professor ,Hopkins-Nanjing Center,Energy Issues; Environmental Issues,,Hopkins-Nanjing Center,Krieger Hall,https://roger-raufer.com/
Roland Thorpe,Professor ,"Center for Africana Studies,Department of Sociology,Population Center,Medicine,Health, Behavior and Society,Mental Health,Geriatric Medicine & Gerontology","Health Disparities; Race;SES; Poverty Status; Functional Decline; Functional Status; Lower Extremity Functioning; Hypertension, Mobility Limitation; Older Adults; Life Course; Men's Health Disparities Across the Life Course; Men's Health","As a social epidemiologist and gerontologist, Dr. Thorpe research focuses on how race, socioeconomic status, and segregation influence health and well-being for African Americans, particularly African American men. He is the recipient of numerous awards that recognize his commitment and valuable contributions to student and faculty mentoring, including the Johns Hopkins School of Public Health Advising, Mentoring, and Teaching Recognition Award, the inaugural 2018 NHLBI OHD PRIDE Roland J. Thorpe, Jr. Mentoring Award, the 2020 JHBSPH Dean’s Award of Distinction in Faculty Mentoring, and the 2020 Minority Issues in Gerontology Outstanding Mentorship Award.",Hampton House 708,Hampton House,
Rolf Klemm,Senior Associate,International Health," Micronutrient deficiencies and prevention and control programs  Maternal, infant and young child nutrition  Public health nutrition interventions in low income countries  Implementation Science  Program evaluation  Food and nutrition policy--international  Large-scale Food Fortification  Community-based prevention and treatment of acute malnutrition  Food Systems research  Dietary interventions  "," Child growth, Micronutrient efficacy trials, public health nutrition intervention effectiveness research, implementation research, maternal, infant and child health in low- and middle-income countries. ",E2543,Krieger Hall,
Romsai Boonyasai,Associate Professor ,"Medicine,Armstrong Institute for Patient Safety and Quality,Collaborative Inpatient Medicine Service (Hospitalists)","Hypertension; Quality improvement for chronic disease; Care coordination at hospital discharge; health care quality, care coordination, chronic illnesses"," Dr. Boonyasai’s research focuses on improving health care quality. He conducts research related to hypertension, quality improvement for chronic disease and care coordination at hospital discharge.   Research in the Romsai Boonyasai Lab focuses on systems-based approaches for improving health care quality, including reducing harm during care transitions after hospital discharge and improving outcomes related to hypertension and other chronic diseases. We recently have focused on developing and evaluating practice-based tools for improving the accuracy of blood pressure measurement, overcoming clinical inertia to treatment, and engaging patients in self-management of their health. ",Halsted 6,The Johns Hopkins Hospital,https://www.hopkinsmedicine.org/research/labs/romsai-boonyasai-lab
Ron Schnaar,Professor ,"Neuroscience,Pharmacology and Molecular Sciences,Institute for Basic Biomedical Sciences (IBBS)", Cell surface molecular interactions (cell-cell recognition) and the control of cell behaviors in the nervous system (axon regeneration) and immune system (inflammation); Glycobiology,"Dr. Schnaar's research focuses on:

Cell-cell interactions in inflammation – Engaging the lectin Siglec-8 on the surface of human eosinophils, basophils, and mast cells results in apoptosis and inhibition of immune mediator release, inhibiting allergic inflammation. His team has identified glycan structures that bind to Siglec-8 and that represent lead compounds for glycan-based asthma therapy, including endogenous counter-receptors in human airways that control eosinophilic inflammation.

Sialoglycans in the control of nervous system proteinopathies. Immune inhibitory Siglecs are expressed on brain microglia, where they regulate the clearance of misfolded proteins. Key to this interaction are endogenous brain sialoglycans that engage microglial Siglecs. Knowledge of these structures and their expression in human proteinopathies such as Alzheimer's Disease promises new avenues to alter disease progression. 

Gangliosides are a class of sialoglycans that represent major molecular determinants on the surfaces of all mammalian cells, but particularly nerve cells. Gangliosides bind specifically to their own cell surface proteins and proteins on other cells to regulate nervous system functions. Chemical biology probes are being used to identify the mammalian ganglioside interactome.",318 WBSB,Wood Basic Science Building,https://www.hopkinsmedicine.org/schnaar/index.htm
Ronald Gray,Professor,"Population Center,Epidemiology","HIV, circumcision, STIs, Uganda",,"627 N. Washington Street, 2nd Floor, Baltimore, Maryland 21205",627 N. Washington Street,
Rong Li,Professor,Cell Biology,"Cellular dynamics in space, time, and adaptation","In the Rong Li lab, we strive to understand the fundamental laws governing the behavior and interactions of cellular systems. Our current work focuses on questions pertaining to the molecular and physical basis of self-organization during morphogenesis, and the evolutionary dynamics of cell division pathways. We also work toward applying insights learned from basic research to the understanding and cure of diseases such as cancer and polycystic kidney disease.",Rangos 451,855 N Wolfe St,https://ronglilab.johnshopkins.edu/
